"lon","lat","datetime","accuracy","speed"
2.3643173,48.8715143,"2014-05-09 01:49:37",20,NA
2.3643894,48.8715409,"2014-05-09 02:04:39",20.7970008850098,NA
2.3643502,48.8715357,"2014-05-09 06:31:04",10,NA
2.3658682,48.8704334,"2014-05-09 06:48:36",14.8830003738403,NA
2.3659951,48.8702653,"2014-05-09 06:48:38",12.7189998626709,NA
2.3673131,48.8686267,"2014-05-09 06:49:29",37.6139984130859,NA
2.367416,48.8685396,"2014-05-09 06:49:56",15.1850004196167,NA
2.3675066,48.8684167,"2014-05-09 06:50:06",13.5480003356934,NA
2.3683659,48.8671079,"2014-05-09 06:50:36",32.8779983520508,NA
2.3685414,48.866753,"2014-05-09 06:50:47",22.1609992980957,NA
2.3687759,48.866584,"2014-05-09 06:50:58",19.136999130249,NA
2.368984,48.8664473,"2014-05-09 06:51:07",15.8570003509521,NA
2.3690345,48.8664133,"2014-05-09 06:51:18",15.1420001983643,NA
2.3691131,48.8663788,"2014-05-09 06:51:29",14.1759996414185,NA
2.3722171,48.8658537,"2014-05-09 06:51:59",33.1699981689453,NA
2.3724118,48.8657972,"2014-05-09 06:52:19",20.8409996032715,NA
2.3725895,48.8657277,"2014-05-09 06:52:29",16.4969997406006,NA
2.3741895,48.8654281,"2014-05-09 06:52:56",17.8460006713867,NA
2.374388,48.8653608,"2014-05-09 06:53:16",13.6560001373291,NA
2.3745428,48.8653267,"2014-05-09 06:53:26",12.4289999008179,NA
2.3768993,48.8648912,"2014-05-09 06:53:56",16.6949996948242,NA
2.3770954,48.8648419,"2014-05-09 06:54:07",15.3540000915527,NA
2.3773205,48.8647844,"2014-05-09 06:54:16",13.6680002212524,NA
2.3796001,48.8643258,"2014-05-09 06:54:46",15.4879999160767,NA
2.3796903,48.8642744,"2014-05-09 06:54:51",13.1999998092651,NA
2.3812989,48.8637839,"2014-05-09 06:55:19",19.9570007324219,NA
2.3821073,48.862535,"2014-05-09 06:55:50",25.6679992675781,NA
2.3823066,48.862131,"2014-05-09 06:55:57",16.8950004577637,NA
2.382372,48.8620071,"2014-05-09 06:56:06",13.4659996032715,NA
2.3823753,48.8619545,"2014-05-09 06:56:17",12.5579996109009,NA
2.3823372,48.861907,"2014-05-09 06:56:29",12.0509996414185,NA
2.3823104,48.861861,"2014-05-09 06:56:38",11.5559997558594,NA
2.3823037,48.8617995,"2014-05-09 06:57:09",10.5930004119873,NA
2.3823149,48.8617531,"2014-05-09 06:57:29",10,NA
2.3823165,48.8612634,"2014-05-09 07:36:50",39.2330017089844,NA
2.382424,48.8612597,"2014-05-09 07:42:58",45.7700004577637,NA
2.3823585,48.8612926,"2014-05-09 10:55:11",10,NA
2.3823585,48.8612926,"2014-05-09 10:55:11",10,NA
2.3823819,48.8613526,"2014-05-09 10:55:51",10,NA
2.3823819,48.8613526,"2014-05-09 10:55:51",10,NA
2.3823913,48.8613646,"2014-05-09 10:56:01",10,NA
2.3824403,48.8614029,"2014-05-09 10:56:21",10,NA
2.3825058,48.8614369,"2014-05-09 10:56:23",10,NA
2.3825677,48.8614672,"2014-05-09 10:56:43",10,NA
2.3826444,48.8615035,"2014-05-09 10:56:53",10,NA
2.3827373,48.8615456,"2014-05-09 10:57:03",10,NA
2.3828188,48.8615817,"2014-05-09 10:57:13",10,NA
2.3849948,48.8622524,"2014-05-09 11:00:03",10,NA
2.3850589,48.8622361,"2014-05-09 11:01:23",10,NA
2.3836065,48.8619439,"2014-05-09 11:10:59",28.7119998931885,NA
2.3835208,48.861914,"2014-05-09 11:11:09",25.92799949646,NA
2.3833978,48.8618697,"2014-05-09 11:11:19",22.5310001373291,NA
2.3833205,48.8618453,"2014-05-09 11:11:25",20.2509994506836,NA
2.3831901,48.8617956,"2014-05-09 11:11:35",16.9990005493164,NA
2.3830888,48.8617626,"2014-05-09 11:11:45",15.4079999923706,NA
2.3830041,48.8617371,"2014-05-09 11:12:05",14.2609996795654,NA
2.3828621,48.8616803,"2014-05-09 11:12:25",13.1099996566772,NA
2.3828098,48.8616405,"2014-05-09 11:12:35",12.451000213623,NA
2.3827556,48.8616034,"2014-05-09 11:12:45",11.7969999313354,NA
2.3826556,48.8615232,"2014-05-09 11:12:59",10.293999671936,NA
2.3826053,48.8614676,"2014-05-09 11:13:09",10,NA
2.3825495,48.8614083,"2014-05-09 11:13:29",10,NA
2.3825152,48.8613662,"2014-05-09 11:13:59",10,NA
2.3824567,48.861265,"2014-05-09 11:15:27",20,NA
2.3823855,48.8612667,"2014-05-09 11:32:21",26.8169994354248,NA
2.3824297,48.8613027,"2014-05-09 11:59:15",20,NA
2.3823798,48.8612589,"2014-05-09 12:11:07",26.5100002288818,NA
2.3824185,48.8612996,"2014-05-09 12:38:37",28.8680000305176,NA
2.3823648,48.861253,"2014-05-09 12:56:40",25.6450004577637,NA
2.3824489,48.8612795,"2014-05-09 13:02:16",30.6560001373291,NA
2.3823895,48.8612427,"2014-05-09 13:10:55",20,NA
2.3824448,48.8612779,"2014-05-09 13:25:40",30.4060001373291,NA
2.3823719,48.8612607,"2014-05-09 13:29:21",26.0189990997314,NA
2.3824442,48.8612516,"2014-05-09 14:06:39",20,NA
2.3824068,48.8612911,"2014-05-09 15:10:36",28.1140003204346,NA
2.3823986,48.861238,"2014-05-09 15:54:15",20,NA
2.3824037,48.861283,"2014-05-09 16:18:15",19.7390003204346,NA
2.3823317,48.8612848,"2014-05-09 16:32:31",10,NA
2.3823276,48.861332,"2014-05-09 16:33:58",10,NA
2.383703,48.8619816,"2014-05-09 16:34:38",26.386999130249,NA
2.3837948,48.862004,"2014-05-09 16:35:19",17.1959991455078,NA
2.3098711,48.8723814,"2014-05-09 17:06:18",27,NA
2.309977,48.8721147,"2014-05-09 17:06:34",15.6319999694824,NA
2.3100645,48.8718875,"2014-05-09 17:06:38",12.1389999389648,NA
2.3100969,48.8718046,"2014-05-09 17:06:48",10.9989995956421,NA
2.3101304,48.8717229,"2014-05-09 17:06:58",10,NA
2.3101511,48.871666,"2014-05-09 17:07:08",10,NA
2.3101461,48.8716171,"2014-05-09 17:07:45",10,NA
2.3101001,48.871574,"2014-05-09 17:08:15",10,NA
2.3100514,48.8715378,"2014-05-09 17:08:35",10,NA
2.3099899,48.8715058,"2014-05-09 17:08:50",10,NA
2.3099318,48.8714759,"2014-05-09 17:09:00",10,NA
2.3086617,48.8709674,"2014-05-09 17:09:33",11.5459995269775,NA
2.3085697,48.870932,"2014-05-09 17:10:28",10,NA
